Donor,Panel,Instrument,File name
d001,B-cell,Attune,"Compensation Controls_405-450,2f,50 Stained Control_003.fcs"
d001,B-cell,Attune,"Compensation Controls_405-525,2f,50 Stained Control_004.fcs"
d001,B-cell,Attune,"Compensation Controls_405-610,2f,20 Stained Control_005.fcs"
d001,B-cell,Attune,"Compensation Controls_488-530,2f,30 Stained Control_006.fcs"
d001,B-cell,Attune,"Compensation Controls_561-585,2f,15 Stained Control_007.fcs"
d001,B-cell,Attune,"Compensation Controls_561-610,2f,20 Stained Control_008.fcs"
d001,B-cell,Attune,"Compensation Controls_561-780,2f,60 Stained Control_009.fcs"
d001,B-cell,Attune,"Compensation Controls_640-670,2f,30 Stained Control_010.fcs"
d001,B-cell,Attune,"Compensation Controls_640-730,2f,45 Stained Control_011.fcs"
d001,B-cell,Attune,"Compensation Controls_640-780,2f,60 Stained Control_012.fcs"
d001,B-cell,Attune,Panel C_FNA C_002.fcs
d001,B-cell,Attune,Panel C_HC C_001.fcs
d002,B-cell,Attune,ak__FNA002__B cell panel_20170914_Compensation_BL1-A.fcs
d002,B-cell,Attune,ak__FNA002__B cell panel_20170914_Compensation_RL1-A.fcs
d002,B-cell,Attune,ak__FNA002__B cell panel_20170914_Compensation_RL2-A.fcs
d002,B-cell,Attune,ak__FNA002__B cell panel_20170914_Compensation_RL3-A.fcs
d002,B-cell,Attune,ak__FNA002__B cell panel_20170914_Compensation_VL1-A.fcs
d002,B-cell,Attune,ak__FNA002__B cell panel_20170914_Compensation_VL2-A.fcs
d002,B-cell,Attune,ak__FNA002__B cell panel_20170914_Compensation_VL3-A.fcs
d002,B-cell,Attune,ak__FNA002__B cell panel_20170914_Compensation_YL1-A.fcs
d002,B-cell,Attune,ak__FNA002__B cell panel_20170914_Compensation_YL2-A.fcs
d002,B-cell,Attune,ak__FNA002__B cell panel_20170914_Compensation_YL4-A.fcs
d002,B-cell,Attune,ak__FNA002__B cell panel_20170914_FNA002__B cell panel_LN_2.fcs
d002,B-cell,Attune,ak__FNA002__B cell panel_20170914_FNA002__B cell panel_PBMC_2.fcs
d003,B-cell,Attune,ak__FNA B cell panel_20171003_FNA_003_3.10.17_B cell__LN.fcs
d003,B-cell,Attune,ak__FNA B cell panel_20171003_FNA_003_3.10.17_B cell__PBMC.fcs
d004,B-cell,Attune,ak__FNA B cell panel_20171010_FNA_004_10.10.17_B cell__LN_A.fcs
d004,B-cell,Attune,ak__FNA B cell panel_20171010_FNA_004_10.10.17_B cell__LN_B.fcs
d004,B-cell,Attune,ak__FNA B cell panel_20171010_FNA_004_10.10.17_B cell__PBMC.fcs
d005,B-cell,Attune,ak__FNA B cell panel_COMP_Compensation_BL1-A.fcs
d005,B-cell,Attune,ak__FNA B cell panel_COMP_Compensation_RL1-A.fcs
d005,B-cell,Attune,ak__FNA B cell panel_COMP_Compensation_RL2-A.fcs
d005,B-cell,Attune,ak__FNA B cell panel_COMP_Compensation_RL3-A.fcs
d005,B-cell,Attune,ak__FNA B cell panel_COMP_Compensation_VL1-A.fcs
d005,B-cell,Attune,ak__FNA B cell panel_COMP_Compensation_VL2-A.fcs
d005,B-cell,Attune,ak__FNA B cell panel_COMP_Compensation_VL3-A.fcs
d005,B-cell,Attune,ak__FNA B cell panel_COMP_Compensation_YL1-A.fcs
d005,B-cell,Attune,ak__FNA B cell panel_COMP_Compensation_YL2-A.fcs
d005,B-cell,Attune,ak__FNA B cell panel_COMP_Compensation_YL4-A.fcs
d005,B-cell,Attune,ak__FNA B cell panel_FNA_005_15.11.17_FNA_A.fcs
